Factory,Tag_Number,Date,Work_Done,Test,Technician
AFC 1,FV-33002,16-7-2017,"replace packing after plug and seat m/c, pressure up to 180 bar ok.",,
AFC 1,FV-33122,1/6/2021 0:00,Check,,
AFC 1,FV-52005A,8/1/2022 0:00,Change diaphram,,
AFC 1,FV-54002,8/1/2022 0:00,Gland Tighted,,
AFC 1,FV-54003,16-7-2017,"after plug m/c, replace packing and gaskets, body pressure test up to 50 bar OK.",,
AFC 1,FV-54003,1/6/2021 0:00,change plug & seat,,
AFC 1,FV-54003,8/1/2022 0:00,Gland Tighted,,
AFC 1,FV-54004,20/1/2022,Gland Tighted,,
AFC 1,FV-56001,1/6/2021 0:00,maching for plug & seat,,
AFC 1,FV-58001,1/6/2021 0:00,maching for plug & seat,,
AFC 1,HV-33001,20/12/2021,gland tighted,,
AFC 1,HV-33005,12/11/2020 0:00,Gland Tighting,,
AFC 1,HV-33005,26/05/2021,Gland Tighting,,
AFC 1,HV-33006,1/6/2021 0:00,actuatore check,,
AFC 1,HV-33404,8/1/2022 0:00,Check,,
AFC 1,HV-33404,15/1/2023,check,,
AFC 1,HV-33702,20/11/2022,Gland Tighted,,
AFC 1,HV-33802,16-7-2017,"remove HW to change packing, fabricate new valve stem, due to stem pending",,
AFC 1,HV-52001,8/1/2022 0:00,Tigheting  Ponit ,,
AFC 1,HV-54014,8/1/2022 0:00,Gland Tighted,,
AFC 1,HV-56001,22-7-2017,"change actuator O-ring and packing, leakage 3.5 bar, body 170 bar",,
AFC 1,HV-56002,8/1/2022 0:00,Maching Internal,,
AFC 1,HV-57001,11/1/2021 0:00,Spray,,
AFC 1,HV-57008,22-7-2017,"Dismantle internals, send for m/c",,
AFC 1,HV-58001,1/6/2021 0:00,maching for plug & seat,,
AFC 1,LV-33005,1/6/2021 0:00,change 3pcs of packing,,
AFC 1,LV-33005,10/7/2021 0:00,"Machening plug + seat, tested 170 bar "" side flange""",,
AFC 1,LV-33005,20/11/2022,Gland Tighted,,
AFC 1,LV-33201,15/1/2023,تربيط جشمة ال stoper,,
AFC 1,LV-33205,16-7-2017,"eakage test ok, replace packing and actuator O-ring.",,
AFC 1,LV-33205,20/12/2021,Gland Tighted,,
AFC 1,LV-52112,4/1/2022 0:00,Gland Tighted,,
AFC 1,LV-56110,8/1/2022 0:00,Check,,
AFC 1,LV-57003A,1/2/2022 0:00,gland tighted,,
AFC 1,LV-57010,10/1/2020 0:00,Check in workshop,,
AFC 1,LV-57012,21/6/2021,Gland Tighted,,
AFC 1,LV-57012,25/11/2021,Gland Tighted,,
AFC 1,LV-57012,8/1/2022 0:00,Gland Tighted,,
AFC 1,LV-58008B,25/9/2021,Clean Stem And Air Supply In Field,,
AFC 1,LV-58008B,11/12/2021 0:00,Gland Tighted,,
AFC 1,PV-33201,3/1/2022 0:00,Check,,
AFC 1,PV-33203,3/1/2022 0:00,Check,,
AFC 1,PV-33801,8/1/2022 0:00,Check,,
AFC 1,PV-33803A,7/12/2021 0:00,gland tying,,Mostafa
AFC 1,PV-33803A,8/1/2022 0:00,Maching Internal,,
AFC 1,PV-33808,22/12/2021,tighet nail of oil tank,,
AFC 1,PV-54008,22-7-2017,cleaning valve adjust close stopper,,
AFC 1,PV-55002,22-7-2017,"plug and seat machining, leakage up to 9 bar air is ok.",,
AFC 1,PV-87101.2,1/6/2021 0:00,maching for plug & seat,,
AFC 1,TV-33216,1/6/2021 0:00,check movment,,
AFC 1,TV-33402,8/1/2022 0:00,Check,,
AFC 1,TV-33703,20/11/2022,Gland Tighted,,
AFC 1,TV-53011,22-7-2017,"cleaning valve internals, adjust close stopper pressure test up to 150 bar and movement are ok",,
AFC 1,XV-54005,17/12/2020,"oil Leak ""1 liter"", waiting nearly shutdown",,
AFC 1,XV-56002,8/7/2021 0:00,closed with hand pumb,,
AFC 1,XV-56002,8/1/2022 0:00,Open With Hand Pumb,,
AFC 1,LIC-33126,28-11-2021,Gland Tighted,,
AFC 1,LV-87102.4,1/6/2021 0:00,maching for plug & seat,,
AFC 1,XV-33140B,11/1/2021 0:00,Piston Changed,,
AFC 1,XV-33112,11/1/2021 0:00,Sealing Changed,,
AFC 1,LV-87104.2,8/1/2022 0:00,Maching Plug & Seat & New Bushing,,
AFC 1,Piston Boiler,8/1/2022 0:00,Changed,,
AFC 2,AV-31703,8/10/2015 0:00,Pressure and movement test are ok.,,
AFC 2,FFV-21403,9/10/2015 0:00,"Cleaning, test without and with accessories are ok.",,
AFC 2,FFV-21403,22-8-2019,Clean the valve and check its movement,,
AFC 2,FFV-21403,7/7/2020 0:00,Check for movement in workshop,,
AFC 2,FFV-21403,2/1/2021 0:00,Check,,
AFC 2,FFV-21403,10/1/2021 0:00,"Cleaning, test without and with accessories are ok.",,
AFC 2,FFV-21403,6/10/2022 0:00,check,,
AFC 2,FFV-21403,1/1/2023 0:00,Check,,
AFC 2,FV-01403,8/3/2021 0:00,Change Bushing,,
