tag_number,Shut-off Pressures P1 / P2,Power Failure Pos.,Manufacturer / Model,Body Style,Required Travel / Angle,Bench Range,Plug/Stem MAT,Butterfly/Shaft MAT,Seat/Guide MAT,Seat Diameter,Trim Coating,Leakage Class,Packing MAT
AV-335701,7.0 / 1.0 BAR G,FC,FISHER-GULDE/1.31-5C,GLOBE VALVE,16 MM,1.5…2.4 BAR G,1.4404,,1.4404,30 MM,,IV,TFE-03
AV-372701,6 BAR G,FC,FISHER-GULDE/1.21-5G,GLOBE VALVE,16 MM,1.3…2.3 BAR G,1.4571,,1.4571,15 MM,,IV,TFE-03
FV-301402,54 /20 BAR A,FO,FISHER-GULDE/ET,GLOBE VALVE,51 MM,0.7...2.2 BAR G,316SS,,316SS+PTFE,111 MM,SOFT SEATED,V,PTFE-V-RING
FV-301403,66 /30 BAR A,FC,NELES ,BALL VALVE,MM,1.5...3.5 BAR,,316SS+CHROME/XM19,SS-STEEL+COTING,25 MM,,V,GRAPHITE
FV-302401,45.0 /1.0 BAR A,FO,FISHER-GULDE,ANGLE VALVE,55 MM,0.8…2.2 BAR G,1.4571,,1.4571,122 MM,,V,TFE-03
FV-303401,51.0 /1.0 BAR A,FC,FISHER-GIJLDE/1013.04,GLOBE VALVE,80 MM,1.2...2.4 BAR G,1.4571,,1.4571,147 MM,,V,SET-81
FV-303402,52.0 /1.0 BAR A,FC,FISHER-GULDE/EWD,GLOBE VALVE,51 MM,0.6...2.2 BAR G,316SS CO/CR,,316SS CO/CR,150 MM,STELLITED,III,S-GRAPHITE
FV-303405,1.0 /50.0 BAR A,FC,NELES /T5CH200DYY*),BALL VALVE,MM,1.5…3.5 BAR G,,CF8M+WC/CO /CF8M,SS-STEEL+WC/CO,200 MM,,VI,GRAPHITE
FV-303406,52.0 /1.0 BAR A,FO,FISHER-GULDE/HPD,GLOBE VALVE,51 MM,0.7...2.2 BAR G,316SS STELL,,316SS STELL,73 MM,STELLITED,III,GRAPHITE
FV-303411,52.0 /1.0 BAR A,FC,FISHER-GULDE/HPD,GLOBE VALVE,19 MM,0.7…1.8 BAR G,416SST,,416SST,25 MM,,III,TFE
FV-303418,138.0 /40.0 BAR A,FO,BOMAFA,ANGLE VALVE,70 MM,1.8…2.9 BAR G,1.4922 / 1.4923,,1.4922 / 1.4923,77 MM,,V,GRAPHITE
FV-303421,BAR A,FC,NELES,BUTTERFLY VALVE,MM,1.5…3.5 BAR G,,A182 GR.F316/AISI329,INCOLOY 825,200 MM,,IV,PTFE 
FV-305401,42.0 /1.0 BAR A,FC,FISHER-GULDE/HPD,GLOBE VALVE,55 MM,1.2…2.0 BAR G,1.4571,,1.4571,197 MM,,III,TFE-03
FV-305402,42.0 / BAR A,FC,FISHER-GULDE,GLOBE VALVE,120 MM,1.2…2.6 BAR G,1.4571,,1.44571,250 MM,PARTLY STELLITED,II ,TFE-03
FV-305404,15.0 /1.0 BAR A,FC,FISHER-CULDE/1013.01,ANGLE VALVE,16 MM,1.3...2.3 BAR G,1.4571,,1.4571,10 MM,COMPLETE STELLITED,IV ,TFE-03
FV-305407,7.0 /0.8 BAR A,FC,FISHER-CULDE/1013.01,GLOBE VALVE,100 (120) MM,1.35...2.6 BAR G,1.4571,,1.4571,200 MM,,IV,SET-81
FV-305408,8.0 /0.8 BAR A,FC,FISHER-GULDE/1011.71,GLOBE VALVE,16 MM,1.3...2.3 BAR G,1.4571,,1.4571,10 MM,,IV,PTFE-GRAPHITE
